Message,Action
"Java JDK yüklü, başka bir işlem gerekli olmayabilir","Aksiyon yok"
"Uygulama sunucusunda hata günlükleri izlenmeli ve analiz edilmelidir","analyze_error_logs_pb"
"Git kurulumu yapılmalı","git_install_pb"
"Nginx kurulumu gerekebilir ve yapılandırılmalıdır","nginx_install_pb"
"Django projesi zaten oluşturulmuş, başka bir işlem gerekli olmayabilir","Aksiyon yok"
"Log analiz aracı üzerinde yeni bir alarm tanımlanmalı ve operasyon ekiplerine bildirilmelidir","define_new_alarm_on_log_analysis_tool_pb"
"Elasticsearch kurulumu gerekebilir","elasticsearch_install_pb"
"Sunucuların yedeklemeleri alınmalı","backup_servers_and_store_in_cloud_storage_pb"
"Node.js kurulumu gerekebilir ve ayarlanmalıdır","nodejs_install_pb"
"CI/CD pipeline'ı otomatik olarak başlatılmalı","start_ci_cd_pipeline_pb"
"Python sanal ortam zaten oluşturulmuş, başka bir işlem gerekli olmayabilir","Aksiyon yok"
"Kubernetes kaynak kullanımı izlenmeli ve ölçeklendirme otomatik olarak gerçekleştirilmelidir","monitor_resource_usage_and_autoscale_pb"
"Node.js kurulumu gerekebilir","nodejs_install_pb"
"Network güvenlik duvarları (firewall) güncellenmeli ve gereksiz portlar kapatılmalıdır","update_firewall_rules_and_close_unused_ports_pb"
"WordPress yüklü, başka bir işlem gerekli olmayabilir","Aksiyon yok"
"Python sanal ortam oluşturulmalı ve yapılandırılmalıdır","python_env_create_pb"
"Uygulama sunucusunda hata günlükleri izlenmeli ve analiz edilmeli","analyze_error_logs_pb"
"Network güvenlik duvarları (firewall) güncellenmeli ve gereksiz portlar kapatılmalıdır","update_firewall_rules_and_close_unused_ports_pb"
"Java JDK zaten yüklü","Aksiyon yok"
"ML modülleri yüklensin", "ml_install_pb"
"Elasticsearch bu makinede mevcut","Aksiyon yok"
"Scikit-learn güncel, başka bir işlem gerekli olmayabilir","Aksiyon yok"
"A/B testi için yeni bir versiyon dağıtılmalı","deploy_new_version_for_ab_testing_pb"
"Yük dengeleyici (load balancer) üzerinde gereksiz olan EC2 örnekleri durdurulmalıdır","stop_unused_ec2_instances_pb"
"Kubernetes kaynak kullanımı izlenmeli ve ölçeklendirme otomatik olarak gerçekleştirilmeli","monitor_resource_usage_and_autoscale_pb"
"Django projesi oluşturulmalı","django_project_create_pb"
"PHP yüklemesi gerekebilir ve yapılandırılmalıdır","php_install_pb"
"PostgreSQL güncel, başka bir işlem gerekmiyor","Aksiyon yok"
"Scikit-learn güncel, başka bir işlem gerekmiyor","Aksiyon yok"
"Apache HTTP Server yüklenmeli","apache_install_pb"
"WordPress kurulumu yapılmalı","wordpress_install_pb"
"Yük dengeleyici (load balancer) üzerinde yeni bir EC2 örneği başlatılmalı ve yapılandırılmalıdır","start_ec2_instance_pb"
"Sistem güncellemeleri otomatik olarak uygulanmalı ve sunucular yeniden başlatılmalı","apply_system_updates_pb"
"Kurumsal VPN erişim kontrol listesi (ACL) güncellenmeli ve revize edilmelidir","update_and_review_enterprise_vpn_acl_pb"
"Uygulama sunucusunda yeni bir Docker konteyneri başlatılmalı","start_docker_container_pb"
"WordPress zaten yüklü, başka bir işlem gerekmiyor","Aksiyon yok"
"Java JDK yüklemesi gerekebilir","java_jdk_install_pb"
"Jenkins zaten yüklü, başka bir işlem gerekmiyor","Aksiyon yok"
"Redis yedekleme işlemi zaten çalışıyor","Aksiyon yok"
"Java JDK zaten yüklü, başka bir işlem gerekli olmayabilir","Aksiyon yok"
"Uygulama sunucusunda güvenlik taraması yapılmalı ve güvenlik açıkları düzeltilmelidir","perform_security_scan_pb"
"Filebeat ve Logstash entegrasyonu gerçekleştirilmeli","filebeat_install_pb"
"WordPress zaten yüklü, başka bir işlem gerekli olmayabilir","Aksiyon yok"
"Yük dengeleyici (load balancer) üzerinde yeni bir EC2 örneği başlatılmalı ve yapılandırılmalıdır","start_ec2_instance_pb"
"Dpkg güncellemesi yapılmalı","dpkg_update_pb"
"Monitor ve alarm kuralları tanımlanmalı ve operasyon ekiplerine bildirilmelidir","define_monitoring_and_alerting_rules_pb"
"Sistem günceldir.","Aksiyon yok"
"Jenkins kurulumu yapılmalı","jenkins_install_pb"
"MySQL yedekleme işlemi zaten çalışıyor, başka bir işlem gerekli olmayabilir","Aksiyon yok"
"Monitor ve alarm kuralları tanımlanmalı","define_monitoring_and_alerting_rules_pb"
"Git kurulumu yapılmalı ve yapılandırılmalıdır","git_install_pb"
"Node.js mevcut, başka bir işlem gerekmiyor","Aksiyon yok"
"Django projesi oluşturulmalı","django_project_create_pb"
"Nginx kurulumu gerekebilir","nginx_install_pb"
"Kubernetes kümelenmesine yeni bir pod eklenmeli","add_pod_to_kubernetes_cluster_pb"
"Apache Tomcat zaten yüklü","Aksiyon yok"
"ML modülleri zaten yüklü", "Aksiyon yok"
"Uygulama sunucusunda performans izlemesi başlatılmalı","start_performance_monitoring_pb"
"Serverless fonksiyonlar için yeni bir güncelleme başlatılmalı ve test edilmelidir","deploy_and_test_new_version_for_serverless_functions_pb"
"MySQL yedekleme işlemi zaten çalışıyor","Aksiyon yok"
"Veritabanı yedeklemesi alınmalı","backup_and_test_databases_pb"
"Monitor ve alarm kuralları tanımlanmalı ve operasyon ekiplerine bildirilmelidir","define_monitoring_and_alerting_rules_pb"
"Elasticsearch kurulumu gerekebilir ve yapılandırılmalıdır","elasticsearch_install_pb"
"MongoDB veritabanı yedeklemesi başlatılmalı ve düzenli olarak test edilmelidir","mongodb_backup_pb"
"PHP kurulumu gerekebilir ve yapılandırılmalıdır","php_install_pb"
"Redis veritabanı yedekleme işlemi başlatılmalı","redis_backup_pb"
"Node.js zaten yüklü","Aksiyon yok"
"Redis veritabanı yedeklemesi başlatılmalı ve düzenli olarak test edilmelidir","redis_backup_pb"
"Kubernetes kümelenmesinden gereksiz pod'lar kaldırılmalı","remove_unused_pods_from_kubernetes_cluster_pb"
"Apache HTTP Server zaten yüklü, başka bir işlem gerekmiyor","Aksiyon yok"
"Yük dengeleyici (load balancer) üzerinde yeni bir EC2 örneği başlatılmalı","start_ec2_instance_pb"
"PostgreSQL güncellemesi yapılmalı","postgresql_update_pb"
"Apache HTTP Server yüklenmeli olabilir","apache_install_pb"
"Network güvenlik duvarları güncellenmeli","update_firewall_rules_and_close_unused_ports_pb"
"Canary dağıtımı yapılmalı ve yeni sürümün performansı değerlendirilmeli","perform_canary_deployment_pb"
"Java JDK yüklemesi gerekebilir ve yapılandırılmalıdır","java_jdk_install_pb"
"Nginx yüklü, başka bir işlem gerekli olmayabilir","Aksiyon yok"
"PHP yüklemesi gerekebilir","php_install_pb"
"Git zaten yüklü, başka bir işlem gerekli olmayabilir","Aksiyon yok"
"Elasticsearch yüklü, başka bir işlem gerekli olmayabilir","Aksiyon yok"
"Apache Tomcat yüklemesi gerekebilir","tomcat_install_pb"
"WordPress yüklemesi gerekebilir","wordpress_install_pb"
"Uygulama sunucusunda güvenlik taraması yapılmalı ve güvenlik açıkları düzeltilmelidir","perform_security_scan_pb"
"Kubernetes kümelenmesinden gereksiz pod'lar kaldırılmalı","remove_unused_pods_from_kubernetes_cluster_pb"
"Jenkins zaten yüklü","Aksiyon yok"
"Kubernetes kümelenmesine yeni bir pod eklenmeli","add_pod_to_kubernetes_cluster_pb"
"Jenkins kurulumu gerekebilir ve yapılandırılmalıdır","jenkins_install_pb"
"Uygulama sunucusunda performans izlemesi başlatılmalı ve gerektiğinde ölçeklendirme yapılmalıdır","start_performance_monitoring_pb"
"PHP kurulumu yapılmalı","php_install_pb"
"ML kütüphaneleri zaten mevcut, yüklemeye gerek yoktur.", "Aksiyon yok"
"Elasticsearch kurulumu yapılmalı","elasticsearch_install_pb"
"Jenkins yüklemesi gerekebilir","jenkins_install_pb"
"PostgreSQL güncel, başka bir işlem gerekli olmayabilir","Aksiyon yok"
"Sistem güncellemeleri yapılmalı, sunucular yeniden başlatılmalıdır","apply_system_updates_pb"
"MySQL yedekleme işlemi zaten çalışıyor","Aksiyon yok"
"Sunucuların yedeklemeleri alınmalı ve AWS S3 gibi bulut depolama hizmetlerine yedeklenmeli","backup_servers_and_store_in_cloud_storage_pb"
"MySQL yedekleme işlemi zaten çalışıyor, başka bir işlem gerekli olmayabilir","Aksiyon yok"
"Nginx kurulumu yapılmalı ve yapılandırılmalıdır","nginx_install_pb"
"Sistem performans testleri otomatik olarak gerçekleştirilmeli ve sonuçlar raporlanmalıdır","perform_system_performance_tests_pb"
"PostgreSQL zaten güncel","Aksiyon yok"
"MongoDB yedekleme işlemi zaten çalışıyor, başka bir işlem gerekli olmayabilir","Aksiyon yok"
"Node.js zaten yüklü, başka bir işlem gerekli olmayabilir","Aksiyon yok"
"Python sanal ortamı oluşturulmalı ve yapılandırılmalıdır","python_env_create_pb"
"Docker konteynerleri kontrol edilmeli ve gereksiz olanlar durdurulmalı","stop_unused_docker_containers_pb"
"Java JDK kurulumu yapılmalı","java_jdk_install_pb"
"Docker ihtiyaca bağlıdır","Aksiyon yok"
"Elasticsearch zaten mevcut","Aksiyon yok"
"A/B testi için yeni bir versiyon dağıtılmalı ve sonuçlar analiz edilmelidir","deploy_new_version_for_ab_testing_pb"
"Sistem performans testleri otomatik olarak gerçekleştirilmeli ve sonuçlar raporlanmalıdır","perform_system_performance_tests_pb"
"Kurumsal VPN erişim kontrol listesi güncellenmeli","update_and_review_enterprise_vpn_acl_pb"
"Network güvenlik duvarları (firewall) güncellenmeli ve gereksiz portlar kapatılmalıdır","update_firewall_rules_and_close_unused_ports_pb"
"PHP zaten yüklü","Aksiyon yok"
"ML kütüphaneleri mevcut, yüklemeye gerek yoktur.", "Aksiyon yok"
"WordPress kurulumu gerekebilir ve yapılandırılmalıdır","wordpress_install_pb"
"Scikit-learn günceldir","Aksiyon yok"
"Docker ihtiyaca bağlıdır","Aksiyon yok"
"Kritik altyapı hizmetlerindeki bağlantı noktaları izlenmeli ve gerektiğinde yeniden başlatılmalıdır","monitor_and_restart_services_pb"
"Apache Tomcat kurulumu yapılmalı","tomcat_install_pb"
"Uygulama sunucusunda hata günlükleri izlenmeli","analyze_error_logs_pb"
"Uygulama sunucusu üzerinde yeni bir Docker konteyneri başlatılmalı","start_docker_container_pb"
"Node.js mevcut, başka bir işlem gerekli olmayabilir","Aksiyon yok"
"Uygulama sunucusu üzerinde yeni bir Docker konteyneri başlatılmalı ve yapılandırılmalıdır","start_docker_container_pb"
"Kubernetes kaynak kullanımı izlenmeli","monitor_resource_usage_and_autoscale_pb"
"Redis veritabanı yedeği alınmalı","redis_backup_pb"
"Sistem performans testleri otomatik olarak gerçekleştirilmeli ve sonuçlar raporlanmalıdır","perform_system_performance_tests_pb"
"Redis yedekleme işlemi zaten çalışıyor, başka bir işlem gerekli olmayabilir","Aksiyon yok"
"Canary dağıtımı yapılmalı","perform_canary_deployment_pb"
"MongoDB yedekleme işlemi zaten çalışıyor","Aksiyon yok"
"Uygulama sunucusunda performans izlemesi başlatılmalı ve gerektiğinde ölçeklendirme yapılmalıdır","start_performance_monitoring_pb"
"Filebeat kurulumu yapılmalı ve Logstash ile entegre edilmeli","filebeat_install_pb"
"Kubernetes kaynak kullanımı izlenmeli ve ölçeklendirme otomatik olarak gerçekleştirilmelidir","monitor_resource_usage_and_autoscale_pb"
"Node.js kurulumu yapılmalı","nodejs_install_pb"
"ML modülleri zaten mevcut", "Aksiyon yok"
"Apache Tomcat zaten yüklü, başka bir işlem gerekli olmayabilir","Aksiyon yok"
"Canary dağıtımı yapılmalı ve yeni sürümün performansı değerlendirilmelidir","perform_canary_deployment_pb"
"MySQL veritabanı yedeklemesi başlatılmalı ve düzenli olarak test edilmelidir","mysql_backup_pb"
"Elasticsearch yüklü, başka bir işlem gerekmiyor","Aksiyon yok"
"Kubernetes uygulamaları için güvenlik taraması yapılmalı ve güvenlik açıkları düzeltilmelidir","perform_security_scan_for_kubernetes_apps_pb"
"Apache HTTP Server kurulumu gerekebilir","apache_install_pb"
"Scikit-learn modülü güncellenmeli","sklearn_update_pb"
"MongoDB yedekleme işlemi zaten çalışıyor","Aksiyon yok"
"Git yüklü, başka bir işlem gerekmiyor","Aksiyon yok"
"Nginx yüklü, başka bir işlem gerekmiyor","Aksiyon yok"
"Kubernetes etkinlik günlükleri izlenmeli ve gerektiğinde müdahale edilmeli","monitor_kubernetes_event_logs_pb"
"Django projesi oluşturulmalı ve yapılandırılmalıdır","django_project_create_pb"
"Uygulama sunucusunda güvenlik taraması yapılmalı ve güvenlik açıkları düzeltilmeli","perform_security_scan_pb"
"Scikit-learn modülü güncellenmeli ve iyileştirilmeli","sklearn_update_pb"
"Elasticsearch zaten mevcut","Aksiyon yok"
"ML modülleri yüklenmeli ve çalıştırılmalı", "ml_install_pb"
"Django projesi oluşturulmalı ve yapılandırılmalıdır","django_project_create_pb"
"Nginx zaten yüklü, başka bir işlem gerekli olmayabilir","Aksiyon yok"
"Dpkg güncellemesi yapılmalı ve güncelleme alınmalıdır","dpkg_update_pb"
"Kubernetes kümelenmesine yeni bir pod eklenmeli ve yapılandırılmalıdır","add_pod_to_kubernetes_cluster_pb"
"Filebeat yüklemesi ve Logstash entegrasyonu gerçekleştirilmeli","filebeat_install_pb"
"Monitor ve alarm kuralları tanımlanmalı ve operasyon ekiplerine bildirilmelidir","define_monitoring_and_alerting_rules_pb"
"Python sanal ortam zaten oluşturulmuş","Aksiyon yok"
"Sistem güncellemeleri otomatik uygulanmalı","apply_system_updates_pb"
"Dpkg güncel, başka bir işlem gerekmiyor","Aksiyon yok"
"Apache HTTP Server zaten yüklü","Aksiyon yok"
"Jenkins yüklü, başka bir işlem gerekli olmayabilir","Aksiyon yok"
"MongoDB yedekleme işlemi zaten çalışıyor, başka bir işlem gerekli olmayabilir","Aksiyon yok"
"CI/CD pipeline'ı otomatik olarak başlatılmalı ve yeni bir kod değişikliği dağıtılmalıdır","start_ci_cd_pipeline_pb"
"Kritik altyapı hizmetlerindeki bağlantı noktaları izlenmeli ve gerektiğinde yeniden başlatılmalıdır","monitor_and_restart_services_pb"
"Sunucuların yedeklemeleri alınmalı ve AWS S3 gibi bulut depolama hizmetlerine yedeklenmelidir","backup_servers_and_store_in_cloud_storage_pb"
"Kubernetes kümelenmesinden gereksiz pod'lar kaldırılmalıdır","remove_unused_pods_from_kubernetes_cluster_pb"
"Docker indirilmeli ve yüklenmeli.","docker_install_pb"
"Sistem performans testleri otomatik olarak gerçekleştirilmeli","perform_system_performance_tests_pb"
"PostgreSQL güncellemesi yapılmalı","postgresql_update_pb"
"A/B testi için yeni bir versiyon dağıtılmalı ve sonuçlar analiz edilmelidir","deploy_new_version_for_ab_testing_pb"
"Log analiz aracı üzerinde yeni bir alarm tanımlanmalı ve operasyon ekiplerine bildirilmelidir","define_new_alarm_on_log_analysis_tool_pb"
"Elasticsearch zaten yüklü","Aksiyon yok"
"ML modülleri yüklenip gerekli testler yapılmalı", "ml_install_pb"
"WordPress yüklemesi gerekebilir ve yapılandırılmalıdır","wordpress_install_pb"
"Redis yedekleme işlemi zaten çalışıyor, başka bir işlem gerekli olmayabilir","Aksiyon yok"
"Kubernetes kümelenmesine yeni bir pod eklenmeli ve yapılandırılmalıdır","add_pod_to_kubernetes_cluster_pb"
"Scikit-learn güncel, herhangi bir aksiyona gerek yoktur.","Aksiyon yok"
"Veritabanı yedeklemesi alınmalı ve yedekler düzenli olarak test edilmeli","backup_and_test_databases_pb"
"Scikit-learn modülü güncellenmeli ve yükseltilmeli","sklearn_update_pb"
"Apache HTTP Server zaten yüklü, başka bir işlem gerekli olmayabilir","Aksiyon yok"
"Apache Tomcat yüklemesi gerekebilir ve yapılandırılmalıdır","tomcat_install_pb"
"Docker konteynerleri kontrol edilmeli ve gereksiz olanlar durdurulmalı","stop_unused_docker_containers_pb"
"Uygulama sunucusunda yeni bir Docker konteyneri başlatılmalı ve yapılandırılmalıdır","start_docker_container_pb"
"Docker gerekmeyebilir","Aksiyon yok"
"Django projesi zaten oluşturulmuş, başka bir işlem gerekli olmayabilir","Aksiyon yok"
"Log analiz aracı üzerinde yeni bir alarm tanımlanmalı","define_new_alarm_on_log_analysis_tool_pb"
"MySQL veritabanı yedeği alınmalı","mysql_backup_pb"
"Elasticsearch zaten yüklü, başka bir işlem gerekli olmayabilir","Aksiyon yok"
"PHP zaten yüklü, başka bir işlem gerekli olmayabilir","Aksiyon yok"
"Canary dağıtımı yapılmalı ve yeni sürümün performansı değerlendirilmelidir","perform_canary_deployment_pb"
"Kritik altyapı hizmetlerindeki bağlantı noktaları izlenmeli","monitor_and_restart_services_pb"
"Django projesi zaten oluşturulmuş","Aksiyon yok"
"PHP zaten yüklü, başka bir işlem gerekli olmayabilir","Aksiyon yok"
"Scikit-learn modülü zaten güncel sürümdedir.","Aksiyon yok"
"Nginx zaten yüklü","Aksiyon yok"
"Elasticsearch kurulumu gerekebilir ve yapılandırılmalıdır","elasticsearch_install_pb"
"Docker konteynerleri kontrol edilmeli ve gereksiz olanlar durdurulmalıdır","stop_unused_docker_containers_pb"
"Yük dengeleyici üzerinde yeni bir EC2 örneği başlatılmalı","start_ec2_instance_pb"
"CI/CD pipeline'ı otomatik olarak başlatılmalı ve yeni bir kod değişikliği dağıtılmalı","start_ci_cd_pipeline_pb"
"Dpkg güncellemesi yapılmalı ve güncellenebilir","dpkg_update_pb"
"Kritik altyapı hizmetlerindeki bağlantı noktaları izlenmeli ve gerektiğinde yeniden başlatılmalı","monitor_and_restart_services_pb"
"Docker konteynerleri kontrol edilmeli ve gereksiz olanlar durdurulmalıdır","stop_unused_docker_containers_pb"
"PostgreSQL güncellemesi yapılmalı ve güncellenmelidir","postgresql_update_pb"
"MongoDB veritabanı yedeği alınmalı ve düzenli olarak test edilmelidir","mongodb_backup_pb"
"Docker lazım değildir.","Aksiyon yok"
"MongoDB veritabanı yedeği alınmalı","mongodb_backup_pb"
"ML kütüphaneleri yüklenmeli", "ml_install_pb"
"Kubernetes uygulamaları için güvenlik taraması yapılmalı ve güvenlik açıkları düzeltilmelidir","perform_security_scan_for_kubernetes_apps_pb"
"Yük dengeleyici üzerinde gereksiz EC2 örnekleri durdurulmalı","stop_unused_ec2_instances_pb"
"MongoDB veritabanı yedekleme işlemi başlatılmalı","mongodb_backup_pb"
"Apache HTTP Server zaten yüklü, başka bir işlem gerekli olmayabilir","Aksiyon yok"
"Kurumsal VPN erişim kontrol listesi (ACL) güncellenmeli ve revize edilmelidir","update_and_review_enterprise_vpn_acl_pb"
"PostgreSQL güncellemesi yapılmalı ve güncellenebilir","postgresql_update_pb"
"MySQL veritabanı yedeği alınmalı ve düzenli olarak test edilmelidir","mysql_backup_pb"
"Git yüklü, başka bir işlem gerekli olmayabilir","Aksiyon yok"
"Kurumsal VPN erişim kontrol listesi (ACL) güncellenmeli ve revize edilmelidir","update_and_review_enterprise_vpn_acl_pb"
"Java JDK yüklü, başka bir işlem gerekmiyor","Aksiyon yok"
"Apache HTTP Server kurulumu yapılmalı","apache_install_pb"
"Filebeat mevcut, ek bir işleme gerek yoktur".,"Aksiyon yok"
"Serverless fonksiyonlar için yeni bir güncelleme başlatılmalı ve test edilmelidir","deploy_and_test_new_version_for_serverless_functions_pb"
"Yük dengeleyici (load balancer) üzerinde gereksiz olan EC2 örnekleri durdurulmalı","stop_unused_ec2_instances_pb"
"Java JDK kurulumu gerekebilir ve yapılandırılmalıdır","java_jdk_install_pb"
"Sunucuların yedeklemeleri alınmalı ve AWS S3 gibi bulut depolama hizmetlerine yedeklenmelidir","backup_servers_and_store_in_cloud_storage_pb"
"Kubernetes uygulamaları için güvenlik taraması yapılmalı ve güvenlik açıkları düzeltilmeli","perform_security_scan_for_kubernetes_apps_pb"
"Serverless fonksiyonlar için yeni bir güncelleme başlatılmalı ve test edilmeli","deploy_and_test_new_version_for_serverless_functions_pb"
"Kubernetes etkinlik günlükleri izlenmeli","monitor_kubernetes_event_logs_pb"
"Elasticsearch yüklenmeli.","elasticsearch_install_pb"
"ML modülleri yüklenmeli", "ml_install_pb"
